"Step","1agent - Training_Reward_Mean","1agent - Training_Reward_Mean__MIN","1agent - Training_Reward_Mean__MAX","4agents - Training_Reward_Mean","4agents - Training_Reward_Mean__MIN","4agents - Training_Reward_Mean__MAX","8agents - Training_Reward_Mean","8agents - Training_Reward_Mean__MIN","8agents - Training_Reward_Mean__MAX"
"22","1.999262515668363","1.999262515668363","1.999262515668363","-26.932755577607676","-26.932755577607676","-26.932755577607676","-145.56896828987573","-145.56896828987573","-145.56896828987573"
"23","-2.1810897775866116","-2.1810897775866116","-2.1810897775866116","-27.311397510756255","-27.311397510756255","-27.311397510756255","-145.9837124848617","-145.9837124848617","-145.9837124848617"
"24","2.389885507350309","2.389885507350309","2.389885507350309","-27.460171750897402","-27.460171750897402","-27.460171750897402","-146.81078542689303","-146.81078542689303","-146.81078542689303"
"25","-1.5356268333459964","-1.5356268333459964","-1.5356268333459964","-27.96589143332253","-27.96589143332253","-27.96589143332253","-148.32933934962978","-148.32933934962978","-148.32933934962978"
"26","2.9474687368150994","2.9474687368150994","2.9474687368150994","-28.24217272535773","-28.24217272535773","-28.24217272535773","-149.78849358972172","-149.78849358972172","-149.78849358972172"
"27","7.545188284367819","7.545188284367819","7.545188284367819","-28.29692906800904","-28.29692906800904","-28.29692906800904","-140.2199570580194","-140.2199570580194","-140.2199570580194"
"28","10.859818138462902","10.859818138462902","10.859818138462902","-28.636660381355597","-28.636660381355597","-28.636660381355597","-140.59484151094247","-140.59484151094247","-140.59484151094247"
"29","15.628491541262463","15.628491541262463","15.628491541262463","-28.72078958820568","-28.72078958820568","-28.72078958820568","-140.2523102264401","-140.2523102264401","-140.2523102264401"
"30","18.712399330882093","18.712399330882093","18.712399330882093","-29.138691109715204","-29.138691109715204","-29.138691109715204","-140.25380636168393","-140.25380636168393","-140.25380636168393"
"31","13.23090046629921","13.23090046629921","13.23090046629921","-28.312597753586985","-28.312597753586985","-28.312597753586985","-132.08660696440745","-132.08660696440745","-132.08660696440745"
"32","7.509050306743837","7.509050306743837","7.509050306743837","-28.072006475699872","-28.072006475699872","-28.072006475699872","-133.58418891421084","-133.58418891421084","-133.58418891421084"
"33","10.494341629077677","10.494341629077677","10.494341629077677","-28.23362893988721","-28.23362893988721","-28.23362893988721","-125.47640567899646","-125.47640567899646","-125.47640567899646"
"34","13.490713165624465","13.490713165624465","13.490713165624465","-27.210840272136526","-27.210840272136526","-27.210840272136526","-118.3036035964611","-118.3036035964611","-118.3036035964611"
"35","16.01169129416158","16.01169129416158","16.01169129416158","-27.034915649171985","-27.034915649171985","-27.034915649171985","-118.65830905837308","-118.65830905837308","-118.65830905837308"
"36","18.557152554846006","18.557152554846006","18.557152554846006","-26.197493829517043","-26.197493829517043","-26.197493829517043","-118.62511570167983","-118.62511570167983","-118.62511570167983"
"37","20.94861129193797","20.94861129193797","20.94861129193797","-25.902257289167526","-25.902257289167526","-25.902257289167526","-112.34387475902436","-112.34387475902436","-112.34387475902436"
"38","23.00576700001457","23.00576700001457","23.00576700001457","-26.242476255718028","-26.242476255718028","-26.242476255718028","-112.95570949908786","-112.95570949908786","-112.95570949908786"
"39","25.18390697824184","25.18390697824184","25.18390697824184","-22.018933778773572","-22.018933778773572","-22.018933778773572","-106.99205283776368","-106.99205283776368","-106.99205283776368"
"40","27.486945865784286","27.486945865784286","27.486945865784286","-21.83634615065748","-21.83634615065748","-21.83634615065748","-101.20974522467515","-101.20974522467515","-101.20974522467515"
"41","22.56193284193098","22.56193284193098","22.56193284193098","-22.150444226399653","-22.150444226399653","-22.150444226399653","-103.01846161329765","-103.01846161329765","-103.01846161329765"
"42","24.46883944489859","24.46883944489859","24.46883944489859","-21.94315442336403","-21.94315442336403","-21.94315442336403","-104.63912037637384","-104.63912037637384","-104.63912037637384"
"43","26.4991921137924","26.4991921137924","26.4991921137924","-22.29613623035631","-22.29613623035631","-22.29613623035631","-106.31630796139422","-106.31630796139422","-106.31630796139422"
"44","28.221479879386","28.221479879386","28.221479879386","-22.22575562073033","-22.22575562073033","-22.22575562073033","-107.98103641624952","-107.98103641624952","-107.98103641624952"
"45","29.91231927304975","29.91231927304975","29.91231927304975","-21.474273362640503","-21.474273362640503","-21.474273362640503","-108.96988827308793","-108.96988827308793","-108.96988827308793"
"46","31.65326970390555","31.65326970390555","31.65326970390555","-20.61889232526554","-20.61889232526554","-20.61889232526554","-109.85243300430247","-109.85243300430247","-109.85243300430247"
"47","33.40748674405935","33.40748674405935","33.40748674405935","-20.725677098666353","-20.725677098666353","-20.725677098666353","-111.3394744401159","-111.3394744401159","-111.3394744401159"
"48","30.9435625599978","30.9435625599978","30.9435625599978","-18.979837479780915","-18.979837479780915","-18.979837479780915","-106.7067036862533","-106.7067036862533","-106.7067036862533"
"49","32.59610835929242","32.59610835929242","32.59610835929242","-17.376608307129715","-17.376608307129715","-17.376608307129715","-107.3223636329822","-107.3223636329822","-107.3223636329822"
"50","34.09767396427107","34.09767396427107","34.09767396427107","-16.090726464194145","-16.090726464194145","-16.090726464194145","-108.16878836339122","-108.16878836339122","-108.16878836339122"
"51","35.43882333937418","35.43882333937418","35.43882333937418","-16.164722603901136","-16.164722603901136","-16.164722603901136","-109.36383887135034","-109.36383887135034","-109.36383887135034"
"52","37.1653310129371","37.1653310129371","37.1653310129371","-15.803362108300641","-15.803362108300641","-15.803362108300641","-110.04773688197517","-110.04773688197517","-110.04773688197517"
"53","34.68927542344435","34.68927542344435","34.68927542344435","-15.669451208279051","-15.669451208279051","-15.669451208279051","-111.10515454857774","-111.10515454857774","-111.10515454857774"
"54","31.599717179886127","31.599717179886127","31.599717179886127","-16.096304294336242","-16.096304294336242","-16.096304294336242","-106.78274288431355","-106.78274288431355","-106.78274288431355"
"55","32.92447697454413","32.92447697454413","32.92447697454413","-16.536036601651784","-16.536036601651784","-16.536036601651784","-107.72964376009996","-107.72964376009996","-107.72964376009996"
"56","30.984902727505023","30.984902727505023","30.984902727505023","-16.56495427125686","-16.56495427125686","-16.56495427125686","-103.75937928558209","-103.75937928558209","-103.75937928558209"
"57","32.24447923016471","32.24447923016471","32.24447923016471","-16.015659395443524","-16.015659395443524","-16.015659395443524","-104.61646200071966","-104.61646200071966","-104.61646200071966"
"58","34.00767977539846","34.00767977539846","34.00767977539846","-16.445566843285153","-16.445566843285153","-16.445566843285153","-100.67210845997876","-100.67210845997876","-100.67210845997876"
"59","35.130208464348655","35.130208464348655","35.130208464348655","-16.497671459129883","-16.497671459129883","-16.497671459129883","-100.98838636208083","-100.98838636208083","-100.98838636208083"
"60","36.48309411064341","36.48309411064341","36.48309411064341","-16.82005526784719","-16.82005526784719","-16.82005526784719","-101.13158231613286","-101.13158231613286","-101.13158231613286"
"61","37.557789971706285","37.557789971706285","37.557789971706285","-16.3459006089709","-16.3459006089709","-16.3459006089709","-97.06277231095602","-97.06277231095602","-97.06277231095602"
"62","38.84864402164807","38.84864402164807","38.84864402164807","-16.094379266441997","-16.094379266441997","-16.094379266441997","-97.79574484961375","-97.79574484961375","-97.79574484961375"
"63","39.825913892522394","39.825913892522394","39.825913892522394","-16.287562934636547","-16.287562934636547","-16.287562934636547","-97.993532488862","-97.993532488862","-97.993532488862"
"64","41.245599557827596","41.245599557827596","41.245599557827596","-15.854974919153122","-15.854974919153122","-15.854974919153122","-98.82040170427365","-98.82040170427365","-98.82040170427365"
"65","42.26341644641445","42.26341644641445","42.26341644641445","-15.453741999150727","-15.453741999150727","-15.453741999150727","-99.28736140728124","-99.28736140728124","-99.28736140728124"
"66","43.61977213470435","43.61977213470435","43.61977213470435","-15.587280958388456","-15.587280958388456","-15.587280958388456","-100.47393084057023","-100.47393084057023","-100.47393084057023"
"67","41.19959931387581","41.19959931387581","41.19959931387581","-14.884247763571805","-14.884247763571805","-14.884247763571805","-101.37044900886066","-101.37044900886066","-101.37044900886066"
"68","38.697402221799926","38.697402221799926","38.697402221799926","-14.836804254523885","-14.836804254523885","-14.836804254523885","-102.4344712731533","-102.4344712731533","-102.4344712731533"
"69","39.62232118616856","39.62232118616856","39.62232118616856","-15.167880152571797","-15.167880152571797","-15.167880152571797","-99.23178481818314","-99.23178481818314","-99.23178481818314"
"70","40.67110844347069","40.67110844347069","40.67110844347069","-15.05828801012157","-15.05828801012157","-15.05828801012157","-96.15332470509641","-96.15332470509641","-96.15332470509641"
"71","41.538670445483895","41.538670445483895","41.538670445483895","-15.25531713364502","-15.25531713364502","-15.25531713364502","-97.12842544737032","-97.12842544737032","-97.12842544737032"
"72","42.524069869742945","42.524069869742945","42.524069869742945","-14.810213898167722","-14.810213898167722","-14.810213898167722","-94.24658250489135","-94.24658250489135","-94.24658250489135"
"73","43.38164841583341","43.38164841583341","43.38164841583341","-14.639116566181446","-14.639116566181446","-14.639116566181446","-95.11188015789322","-95.11188015789322","-95.11188015789322"
"74","44.30977323478569","44.30977323478569","44.30977323478569","-14.610057242701247","-14.610057242701247","-14.610057242701247","-96.0740586621278","-96.0740586621278","-96.0740586621278"
"75","45.104231974962964","45.104231974962964","45.104231974962964","-14.9484015637237","-14.9484015637237","-14.9484015637237","-96.99231845058021","-96.99231845058021","-96.99231845058021"
"76","46.30805232771993","46.30805232771993","46.30805232771993","-15.182032694984905","-15.182032694984905","-15.182032694984905","-97.40690410047621","-97.40690410047621","-97.40690410047621"
"77","47.03881205305979","47.03881205305979","47.03881205305979","-14.757503680751487","-14.757503680751487","-14.757503680751487","-98.19347216583998","-98.19347216583998","-98.19347216583998"
"78","43.9710573316088","43.9710573316088","43.9710573316088","-14.426217474893008","-14.426217474893008","-14.426217474893008","-98.83475754116779","-98.83475754116779","-98.83475754116779"
"79","44.72933220558014","44.72933220558014","44.72933220558014","-14.746605541406689","-14.746605541406689","-14.746605541406689","-96.03657496485691","-96.03657496485691","-96.03657496485691"
"80","45.56401322579015","45.56401322579015","45.56401322579015","-14.820278078042032","-14.820278078042032","-14.820278078042032","-93.53702053912883","-93.53702053912883","-93.53702053912883"
"81","43.355806143445925","43.355806143445925","43.355806143445925","-13.143065495377952","-13.143065495377952","-13.143065495377952","-90.88517507072723","-90.88517507072723","-90.88517507072723"
"82","44.04850723019227","44.04850723019227","44.04850723019227","-11.607350540394474","-11.607350540394474","-11.607350540394474","-91.19300706682303","-91.19300706682303","-91.19300706682303"
"83","44.7265614119583","44.7265614119583","44.7265614119583","-10.099485339952594","-10.099485339952594","-10.099485339952594","-88.87081531831207","-88.87081531831207","-88.87081531831207"
"84","45.416796294120324","45.416796294120324","45.416796294120324","-9.486641377354639","-9.486641377354639","-9.486641377354639","-86.51005886565972","-86.51005886565972","-86.51005886565972"
"85","46.35058394464546","46.35058394464546","46.35058394464546","-8.090216134266585","-8.090216134266585","-8.090216134266585","-86.78373577272832","-86.78373577272832","-86.78373577272832"
"86","47.144287916942126","47.144287916942126","47.144287916942126","-6.614585188800463","-6.614585188800463","-6.614585188800463","-87.29258068537622","-87.29258068537622","-87.29258068537622"
"87","47.871901292314654","47.871901292314654","47.871901292314654","-6.277464757200508","-6.277464757200508","-6.277464757200508","-87.7653172653163","-87.7653172653163","-87.7653172653163"
"88","48.496377130198546","48.496377130198546","48.496377130198546","-4.943395664723537","-4.943395664723537","-4.943395664723537","-88.35799859232559","-88.35799859232559","-88.35799859232559"
"89","49.0688706259735","49.0688706259735","49.0688706259735","-3.6143539932662034","-3.6143539932662034","-3.6143539932662034","-86.12964009580983","-86.12964009580983","-86.12964009580983"
"90","49.757265157410394","49.757265157410394","49.757265157410394","-3.2806408188749536","-3.2806408188749536","-3.2806408188749536","-83.95332199608859","-83.95332199608859","-83.95332199608859"
"91","50.528937589061364","50.528937589061364","50.528937589061364","-3.150722393434934","-3.150722393434934","-3.150722393434934","-84.56641322129431","-84.56641322129431","-84.56641322129431"
"92","51.146117098413356","51.146117098413356","51.146117098413356","-1.9735811320919145","-1.9735811320919145","-1.9735811320919145","-85.10720035190867","-85.10720035190867","-85.10720035190867"
"93","52.06534969935289","52.06534969935289","52.06534969935289","-0.7951212514293087","-0.7951212514293087","-0.7951212514293087","-86.09477228052035","-86.09477228052035","-86.09477228052035"
"94","50.09209643187368","50.09209643187368","50.09209643187368","0.37144514861229555","0.37144514861229555","0.37144514861229555","-83.8409525076775","-83.8409525076775","-83.8409525076775"
"95","50.629273278824","50.629273278824","50.629273278824","1.5074426122184565","1.5074426122184565","1.5074426122184565","-84.65175417007627","-84.65175417007627","-84.65175417007627"
"96","51.30236492016367","51.30236492016367","51.30236492016367","1.6162745747104295","1.6162745747104295","1.6162745747104295","-82.66287108079113","-82.66287108079113","-82.66287108079113"
"97","51.88374882792373","51.88374882792373","51.88374882792373","2.807950259988447","2.807950259988447","2.807950259988447","-80.71532782005488","-80.71532782005488","-80.71532782005488"
"98","50.006799456042216","50.006799456042216","50.006799456042216","2.510620050076191","2.510620050076191","2.510620050076191","-81.25830994617374","-81.25830994617374","-81.25830994617374"
"100","50.531036167474255","50.531036167474255","50.531036167474255","2.4348179665267393","2.4348179665267393","2.4348179665267393","-82.10922722691538","-82.10922722691538","-82.10922722691538"
"101","52.71176928517058","52.71176928517058","52.71176928517058","2.829398133162188","2.829398133162188","2.829398133162188","-79.52753002556189","-79.52753002556189","-79.52753002556189"
"102","52.70086005678451","52.70086005678451","52.70086005678451","2.420280318745709","2.420280318745709","2.420280318745709","-77.00759874221538","-77.00759874221538","-77.00759874221538"
"103","53.241244645788875","53.241244645788875","53.241244645788875","2.6885626420041002","2.6885626420041002","2.6885626420041002","-74.50401935250126","-74.50401935250126","-74.50401935250126"
"104","53.75939112751812","53.75939112751812","53.75939112751812","3.9816017221263547","3.9816017221263547","3.9816017221263547","-71.5861395203356","-71.5861395203356","-71.5861395203356"
"105","53.61083640046","53.61083640046","53.61083640046","4.643111442076693","4.643111442076693","4.643111442076693","-70.77059952186183","-70.77059952186183","-70.77059952186183"
"106","53.490455141032825","53.490455141032825","53.490455141032825","5.165540944485706","5.165540944485706","5.165540944485706","-70.26789752525215","-70.26789752525215","-70.26789752525215"
"107","55.88764180130348","55.88764180130348","55.88764180130348","6.357188473441489","6.357188473441489","6.357188473441489","-67.40229692429448","-67.40229692429448","-67.40229692429448"
"108","56.120525423525805","56.120525423525805","56.120525423525805","6.908097126238124","6.908097126238124","6.908097126238124","-66.74891176232555","-66.74891176232555","-66.74891176232555"
"109","55.86570232972192","55.86570232972192","55.86570232972192","7.25102167371686","7.25102167371686","7.25102167371686","-66.27260705137505","-66.27260705137505","-66.27260705137505"
"110","58.255140072340964","58.255140072340964","58.255140072340964","7.925069216640814","7.925069216640814","7.925069216640814","-63.31862829601153","-63.31862829601153","-63.31862829601153"
"111","58.1901534654488","58.1901534654488","58.1901534654488","8.499909597379729","8.499909597379729","8.499909597379729","-60.687330328381506","-60.687330328381506","-60.687330328381506"
"112","58.29692674853348","58.29692674853348","58.29692674853348","8.743423626654595","8.743423626654595","8.743423626654595","-60.08904928986753","-60.08904928986753","-60.08904928986753"
"113","58.890827834131954","58.890827834131954","58.890827834131954","9.074215550383151","9.074215550383151","9.074215550383151","-59.70997541020285","-59.70997541020285","-59.70997541020285"
"114","56.409359374208044","56.409359374208044","56.409359374208044","10.520696719649267","10.520696719649267","10.520696719649267","-56.91083084985664","-56.91083084985664","-56.91083084985664"
"115","56.04340456489627","56.04340456489627","56.04340456489627","11.318421138372","11.318421138372","11.318421138372","-56.48470670913269","-56.48470670913269","-56.48470670913269"
"116","53.28413095159742","53.28413095159742","53.28413095159742","11.87002809428141","11.87002809428141","11.87002809428141","-53.60409951560428","-53.60409951560428","-53.60409951560428"
"117","53.06405854736971","53.06405854736971","53.06405854736971","13.391067339040173","13.391067339040173","13.391067339040173","-50.774172455821436","-50.774172455821436","-50.774172455821436"
"118","55.95835766803069","55.95835766803069","55.95835766803069","13.939103419500832","13.939103419500832","13.939103419500832","-50.37067223618221","-50.37067223618221","-50.37067223618221"
"119","55.92316607641965","55.92316607641965","55.92316607641965","14.39739672654903","14.39739672654903","14.39739672654903","-53.114905351193514","-53.114905351193514","-53.114905351193514"
"120","59.07944527443773","59.07944527443773","59.07944527443773","15.870139328637023","15.870139328637023","15.870139328637023","-53.39098552112832","-53.39098552112832","-53.39098552112832"
"121","59.009530814057854","59.009530814057854","59.009530814057854","17.167156789089073","17.167156789089073","17.167156789089073","-50.53442808167188","-50.53442808167188","-50.53442808167188"
"122","58.799773375495036","58.799773375495036","58.799773375495036","18.65423958429856","18.65423958429856","18.65423958429856","-47.70606786231835","-47.70606786231835","-47.70606786231835"
"123","58.94662609779604","58.94662609779604","58.94662609779604","19.17972449761295","19.17972449761295","19.17972449761295","-44.98565365142635","-44.98565365142635","-44.98565365142635"
"124","60.93749998700401","60.93749998700401","60.93749998700401","20.62449650384264","20.62449650384264","20.62449650384264","-42.398607549188576","-42.398607549188576","-42.398607549188576"
"125","61.00767134642669","61.00767134642669","61.00767134642669","21.19981989003627","21.19981989003627","21.19981989003627","-39.66477307688015","-39.66477307688015","-39.66477307688015"
"126","63.040807770447465","63.040807770447465","63.040807770447465","22.69638131409249","22.69638131409249","22.69638131409249","-39.089422947922095","-39.089422947922095","-39.089422947922095"
"127","63.2499418856119","63.2499418856119","63.2499418856119","23.338969574003926","23.338969574003926","23.338969574003926","-36.13693645637026","-36.13693645637026","-36.13693645637026"
"128","62.950089404060826","62.950089404060826","62.950089404060826","24.707319958855134","24.707319958855134","24.707319958855134","-38.30970535670644","-38.30970535670644","-38.30970535670644"
"129","62.98758287281687","62.98758287281687","62.98758287281687","26.13647008936398","26.13647008936398","26.13647008936398","-35.64589987265021","-35.64589987265021","-35.64589987265021"
"130","62.49077982232484","62.49077982232484","62.49077982232484","26.70442310675123","26.70442310675123","26.70442310675123","-35.57820478753353","-35.57820478753353","-35.57820478753353"
"131","62.414753272597565","62.414753272597565","62.414753272597565","28.2157303157327","28.2157303157327","28.2157303157327","-32.999779960858206","-32.999779960858206","-32.999779960858206"
"132","65.00255168028218","65.00255168028218","65.00255168028218","29.325722187158785","29.325722187158785","29.325722187158785","-33.14600255272701","-33.14600255272701","-33.14600255272701"
"133","67.96077861942038","67.96077861942038","67.96077861942038","30.59354869336281","30.59354869336281","30.59354869336281","-30.28879718327768","-30.28879718327768","-30.28879718327768"
"134","67.88624882016695","67.88624882016695","67.88624882016695","31.959839291020813","31.959839291020813","31.959839291020813","-30.676026120494598","-30.676026120494598","-30.676026120494598"
"135","67.87119954594164","67.87119954594164","67.87119954594164","32.053256142166006","32.053256142166006","32.053256142166006","-30.891793767505675","-30.891793767505675","-30.891793767505675"
"136","67.91607720328874","67.91607720328874","67.91607720328874","32.481008946631704","32.481008946631704","32.481008946631704","-30.66722889147974","-30.66722889147974","-30.66722889147974"
"137","67.94650925874757","67.94650925874757","67.94650925874757","32.10336071674979","32.10336071674979","32.10336071674979","-28.40790441010321","-28.40790441010321","-28.40790441010321"
"138","67.88333869286689","67.88333869286689","67.88333869286689","32.112238215346025","32.112238215346025","32.112238215346025","-30.58238428989138","-30.58238428989138","-30.58238428989138"
"139","68.01979951810914","68.01979951810914","68.01979951810914","32.642398762016256","32.642398762016256","32.642398762016256","-28.199195263734737","-28.199195263734737","-28.199195263734737"
"140","67.9226788196825","67.9226788196825","67.9226788196825","31.38630441001571","31.38630441001571","31.38630441001571","-28.37626651052989","-28.37626651052989","-28.37626651052989"
"141","67.9202157806751","67.9202157806751","67.9202157806751","31.750948295619217","31.750948295619217","31.750948295619217","-28.656300109440135","-28.656300109440135","-28.656300109440135"
"142","70.72209869394356","70.72209869394356","70.72209869394356","33.18518348612364","33.18518348612364","33.18518348612364","-28.190236722387922","-28.190236722387922","-28.190236722387922"
"143","70.93028760720479","70.93028760720479","70.93028760720479","34.40191923852533","34.40191923852533","34.40191923852533","-25.382607858943715","-25.382607858943715","-25.382607858943715"
"144","70.83468070719236","70.83468070719236","70.83468070719236","35.849655796492755","35.849655796492755","35.849655796492755","-22.503459461349017","-22.503459461349017","-22.503459461349017"
"145","70.7946593757976","70.7946593757976","70.7946593757976","37.11309461841272","37.11309461841272","37.11309461841272","-19.637465150823587","-19.637465150823587","-19.637465150823587"
"146","70.84469653883747","70.84469653883747","70.84469653883747","37.11822060891018","37.11822060891018","37.11822060891018","-17.101681730725428","-17.101681730725428","-17.101681730725428"
"147","70.72762626242454","70.72762626242454","70.72762626242454","37.13154888597417","37.13154888597417","37.13154888597417","-14.563847886133729","-14.563847886133729","-14.563847886133729"
"148","70.57638808180408","70.57638808180408","70.57638808180408","36.9816132479595","36.9816132479595","36.9816132479595","-11.720668351453039","-11.720668351453039","-11.720668351453039"
"149","72.53813423619322","72.53813423619322","72.53813423619322","36.47624432118036","36.47624432118036","36.47624432118036","-11.873005282630452","-11.873005282630452","-11.873005282630452"
"150","72.41481591227338","72.41481591227338","72.41481591227338","35.98839914723699","35.98839914723699","35.98839914723699","-9.377851444403602","-9.377851444403602","-9.377851444403602"
"151","70.10703043381626","70.10703043381626","70.10703043381626","36.56371666071028","36.56371666071028","36.56371666071028","-6.832554282743275","-6.832554282743275","-6.832554282743275"
"152","70.14285779699277","70.14285779699277","70.14285779699277","37.841460356357125","37.841460356357125","37.841460356357125","-6.288019589481685","-6.288019589481685","-6.288019589481685"
"153","70.13380382433212","70.13380382433212","70.13380382433212","37.92739857025072","37.92739857025072","37.92739857025072","-3.765557687198773","-3.765557687198773","-3.765557687198773"
"154","72.2057015972864","72.2057015972864","72.2057015972864","39.09315014592608","39.09315014592608","39.09315014592608","-1.0409172949795567","-1.0409172949795567","-1.0409172949795567"
"155","74.66059335383567","74.66059335383567","74.66059335383567","40.53612079066246","40.53612079066246","40.53612079066246","-1.280449744108017","-1.280449744108017","-1.280449744108017"
"156","74.633843870139","74.633843870139","74.633843870139","41.997246588313686","41.997246588313686","41.997246588313686","-1.032654392797618","-1.032654392797618","-1.032654392797618"
"157","73.82654874955631","73.82654874955631","73.82654874955631","43.24372779169291","43.24372779169291","43.24372779169291","-3.4711225844151024","-3.4711225844151024","-3.4711225844151024"
"158","73.83237366156256","73.83237366156256","73.83237366156256","44.14973174111621","44.14973174111621","44.14973174111621","-3.218631585555027","-3.218631585555027","-3.218631585555027"
"159","73.6084881247351","73.6084881247351","73.6084881247351","45.72367437122833","45.72367437122833","45.72367437122833","-3.480228415020415","-3.480228415020415","-3.480228415020415"
"160","73.60726539722138","73.60726539722138","73.60726539722138","46.98294597812563","46.98294597812563","46.98294597812563","-3.4126182014260884","-3.4126182014260884","-3.4126182014260884"
"161","73.53920203027296","73.53920203027296","73.53920203027296","48.553019286131736","48.553019286131736","48.553019286131736","-1.257833142202809","-1.257833142202809","-1.257833142202809"
"162","73.51851059576173","73.51851059576173","73.51851059576173","49.49754293823987","49.49754293823987","49.49754293823987","-1.6843487402284532","-1.6843487402284532","-1.6843487402284532"
"163","73.49888337322395","73.49888337322395","73.49888337322395","50.57466763790089","50.57466763790089","50.57466763790089","0.7591490298417081","0.7591490298417081","0.7591490298417081"
"164","73.52708868371856","73.52708868371856","73.52708868371856","51.92260432213494","51.92260432213494","51.92260432213494","0.6420783393913443","0.6420783393913443","0.6420783393913443"
"165","73.32843988934371","73.32843988934371","73.32843988934371","52.87509759461287","52.87509759461287","52.87509759461287","3.1976065199643187","3.1976065199643187","3.1976065199643187"
"166","73.26271140592908","73.26271140592908","73.26271140592908","53.861182738754536","53.861182738754536","53.861182738754536","3.090593709164798","3.090593709164798","3.090593709164798"
"167","72.93131903487227","72.93131903487227","72.93131903487227","55.183413060583746","55.183413060583746","55.183413060583746","5.903215746523971","5.903215746523971","5.903215746523971"
"168","75.2394001868718","75.2394001868718","75.2394001868718","55.06146804076784","55.06146804076784","55.06146804076784","8.536099906541235","8.536099906541235","8.536099906541235"
