"Step","8agents_0highspeed - Training_Episode_Length_Mean","8agents_0highspeed - Training_Episode_Length_Mean__MIN","8agents_0highspeed - Training_Episode_Length_Mean__MAX","8agents_0incentive - Training_Episode_Length_Mean","8agents_0incentive - Training_Episode_Length_Mean__MIN","8agents_0incentive - Training_Episode_Length_Mean__MAX","8agents - Training_Episode_Length_Mean","8agents - Training_Episode_Length_Mean__MIN","8agents - Training_Episode_Length_Mean__MAX"
"0","10","10","10","10","10","10","42","42","42"
"1","33.5","33.5","33.5","36","36","36","44.5","44.5","44.5"
"2","25.666666666666668","25.666666666666668","25.666666666666668","27.333333333333332","27.333333333333332","27.333333333333332","46.333333333333336","46.333333333333336","46.333333333333336"
"3","27.25","27.25","27.25","31.5","31.5","31.5","38.75","38.75","38.75"
"4","24","24","24","27.4","27.4","27.4","33.8","33.8","33.8"
"5","21.666666666666668","21.666666666666668","21.666666666666668","26","26","26","31.166666666666668","31.166666666666668","31.166666666666668"
"6","20.142857142857142","20.142857142857142","20.142857142857142","23.714285714285715","23.714285714285715","23.714285714285715","28.714285714285715","28.714285714285715","28.714285714285715"
"7","18.625","18.625","18.625","21.75","21.75","21.75","26.5","26.5","26.5"
"8","17.333333333333332","17.333333333333332","17.333333333333332","20.11111111111111","20.11111111111111","20.11111111111111","25.88888888888889","25.88888888888889","25.88888888888889"
"9","16.7","16.7","16.7","22.8","22.8","22.8","24","24","24"
"10","16.363636363636363","16.363636363636363","16.363636363636363","23.727272727272727","23.727272727272727","23.727272727272727","25.363636363636363","25.363636363636363","25.363636363636363"
"11","15.833333333333334","15.833333333333334","15.833333333333334","22.5","22.5","22.5","24.083333333333332","24.083333333333332","24.083333333333332"
"12","15.307692307692308","15.307692307692308","15.307692307692308","21.384615384615383","21.384615384615383","21.384615384615383","24.23076923076923","24.23076923076923","24.23076923076923"
"13","17.428571428571427","17.428571428571427","17.428571428571427","22.571428571428573","22.571428571428573","22.571428571428573","23.785714285714285","23.785714285714285","23.785714285714285"
"14","17.133333333333333","17.133333333333333","17.133333333333333","21.866666666666667","21.866666666666667","21.866666666666667","23.4","23.4","23.4"
"15","16.6875","16.6875","16.6875","21.125","21.125","21.125","22.8125","22.8125","22.8125"
"16","16.470588235294116","16.470588235294116","16.470588235294116","20.529411764705884","20.529411764705884","20.529411764705884","22.41176470588235","22.41176470588235","22.41176470588235"
"17","17.555555555555557","17.555555555555557","17.555555555555557","21.666666666666668","21.666666666666668","21.666666666666668","21.77777777777778","21.77777777777778","21.77777777777778"
"18","18.210526315789473","18.210526315789473","18.210526315789473","21.68421052631579","21.68421052631579","21.68421052631579","25.894736842105264","25.894736842105264","25.894736842105264"
"19","17.7","17.7","17.7","21","21","21","29.6","29.6","29.6"
"20","17.571428571428573","17.571428571428573","17.571428571428573","21.714285714285715","21.714285714285715","21.714285714285715","28.857142857142858","28.857142857142858","28.857142857142858"
"21","17.454545454545453","17.454545454545453","17.454545454545453","21.363636363636363","21.363636363636363","21.363636363636363","28.227272727272727","28.227272727272727","28.227272727272727"
"22","18.043478260869566","18.043478260869566","18.043478260869566","21.08695652173913","21.08695652173913","21.08695652173913","28.304347826086957","28.304347826086957","28.304347826086957"
"23","19.166666666666668","19.166666666666668","19.166666666666668","20.958333333333332","20.958333333333332","20.958333333333332","28.75","28.75","28.75"
"24","18.8","18.8","18.8","20.52","20.52","20.52","28.72","28.72","28.72"
"25","18.846153846153847","18.846153846153847","18.846153846153847","20.384615384615383","20.384615384615383","20.384615384615383","27.96153846153846","27.96153846153846","27.96153846153846"
"26","18.48148148148148","18.48148148148148","18.48148148148148","19.962962962962962","19.962962962962962","19.962962962962962","27.22222222222222","27.22222222222222","27.22222222222222"
"27","18.357142857142858","18.357142857142858","18.357142857142858","19.892857142857142","19.892857142857142","19.892857142857142","29.821428571428573","29.821428571428573","29.821428571428573"
"28","18.17241379310345","18.17241379310345","18.17241379310345","19.586206896551722","19.586206896551722","19.586206896551722","30.275862068965516","30.275862068965516","30.275862068965516"
"29","18.7","18.7","18.7","19.666666666666668","19.666666666666668","19.666666666666668","30.866666666666667","30.866666666666667","30.866666666666667"
"30","18.387096774193548","18.387096774193548","18.387096774193548","19.322580645161292","19.322580645161292","19.322580645161292","31.612903225806452","31.612903225806452","31.612903225806452"
"31","18.78125","18.78125","18.78125","19.03125","19.03125","19.03125","33.75","33.75","33.75"
"32","18.515151515151516","18.515151515151516","18.515151515151516","18.78787878787879","18.78787878787879","18.78787878787879","33.15151515151515","33.15151515151515","33.15151515151515"
"33","18.529411764705884","18.529411764705884","18.529411764705884","18.5","18.5","18.5","35.11764705882353","35.11764705882353","35.11764705882353"
"34","18.457142857142856","18.457142857142856","18.457142857142856","18.428571428571427","18.428571428571427","18.428571428571427","36.97142857142857","36.97142857142857","36.97142857142857"
"35","18.166666666666668","18.166666666666668","18.166666666666668","18.13888888888889","18.13888888888889","18.13888888888889","37.69444444444444","37.69444444444444","37.69444444444444"
"36","18.7027027027027","18.7027027027027","18.7027027027027","18.054054054054053","18.054054054054053","18.054054054054053","38.4054054054054","38.4054054054054","38.4054054054054"
"37","18.473684210526315","18.473684210526315","18.473684210526315","17.842105263157894","17.842105263157894","17.842105263157894","40.026315789473685","40.026315789473685","40.026315789473685"
"38","18.28205128205128","18.28205128205128","18.28205128205128","17.666666666666668","17.666666666666668","17.666666666666668","40.333333333333336","40.333333333333336","40.333333333333336"
"39","18.1","18.1","18.1","17.575","17.575","17.575","41.825","41.825","41.825"
"40","18.5609756097561","18.5609756097561","18.5609756097561","17.902439024390244","17.902439024390244","17.902439024390244","43.24390243902439","43.24390243902439","43.24390243902439"
"41","18.547619047619047","18.547619047619047","18.547619047619047","17.88095238095238","17.88095238095238","17.88095238095238","42.642857142857146","42.642857142857146","42.642857142857146"
"42","18.372093023255815","18.372093023255815","18.372093023255815","17.837209302325583","17.837209302325583","17.837209302325583","42.16279069767442","42.16279069767442","42.16279069767442"
"43","18.90909090909091","18.90909090909091","18.90909090909091","17.727272727272727","17.727272727272727","17.727272727272727","41.59090909090909","41.59090909090909","41.59090909090909"
"44","18.711111111111112","18.711111111111112","18.711111111111112","17.555555555555557","17.555555555555557","17.555555555555557","40.977777777777774","40.977777777777774","40.977777777777774"
"45","19.108695652173914","19.108695652173914","19.108695652173914","17.97826086956522","17.97826086956522","17.97826086956522","40.97826086956522","40.97826086956522","40.97826086956522"
"46","18.93617021276596","18.93617021276596","18.93617021276596","17.914893617021278","17.914893617021278","17.914893617021278","41.04255319148936","41.04255319148936","41.04255319148936"
"47","18.729166666666668","18.729166666666668","18.729166666666668","17.75","17.75","17.75","40.479166666666664","40.479166666666664","40.479166666666664"
"48","18.693877551020407","18.693877551020407","18.693877551020407","17.73469387755102","17.73469387755102","17.73469387755102","41.69387755102041","41.69387755102041","41.69387755102041"
"49","18.52","18.52","18.52","17.62","17.62","17.62","41.7","41.7","41.7"
"50","18.529411764705884","18.529411764705884","18.529411764705884","17.764705882352942","17.764705882352942","17.764705882352942","41.568627450980394","41.568627450980394","41.568627450980394"
"51","18.346153846153847","18.346153846153847","18.346153846153847","17.615384615384617","17.615384615384617","17.615384615384617","41.23076923076923","41.23076923076923","41.23076923076923"
"52","18.245283018867923","18.245283018867923","18.245283018867923","17.50943396226415","17.50943396226415","17.50943396226415","41.37735849056604","41.37735849056604","41.37735849056604"
"53","18.14814814814815","18.14814814814815","18.14814814814815","17.444444444444443","17.444444444444443","17.444444444444443","41.129629629629626","41.129629629629626","41.129629629629626"
"54","17.98181818181818","17.98181818181818","17.98181818181818","17.29090909090909","17.29090909090909","17.29090909090909","42.2","42.2","42.2"
"55","17.857142857142858","17.857142857142858","17.857142857142858","17.142857142857142","17.142857142857142","17.142857142857142","42.07142857142857","42.07142857142857","42.07142857142857"
"56","18.07017543859649","18.07017543859649","18.07017543859649","17.140350877192983","17.140350877192983","17.140350877192983","43.08771929824562","43.08771929824562","43.08771929824562"
"57","17.93103448275862","17.93103448275862","17.93103448275862","17.17241379310345","17.17241379310345","17.17241379310345","43.05172413793103","43.05172413793103","43.05172413793103"
"58","18.559322033898304","18.559322033898304","18.559322033898304","17.491525423728813","17.491525423728813","17.491525423728813","44.016949152542374","44.016949152542374","44.016949152542374"
"59","18.8","18.8","18.8","17.983333333333334","17.983333333333334","17.983333333333334","44.3","44.3","44.3"
"60","18.75409836065574","18.75409836065574","18.75409836065574","17.950819672131146","17.950819672131146","17.950819672131146","44.60655737704918","44.60655737704918","44.60655737704918"
"61","18.79032258064516","18.79032258064516","18.79032258064516","18","18","18","45.5","45.5","45.5"
"62","18.857142857142858","18.857142857142858","18.857142857142858","18.063492063492063","18.063492063492063","18.063492063492063","45.3968253968254","45.3968253968254","45.3968253968254"
"63","19.25","19.25","19.25","18.390625","18.390625","18.390625","45.875","45.875","45.875"
