"Step","8agents_0highspeed - Training_Reward_Mean","8agents_0highspeed - Training_Reward_Mean__MIN","8agents_0highspeed - Training_Reward_Mean__MAX","8agents_0incentive - Training_Reward_Mean","8agents_0incentive - Training_Reward_Mean__MIN","8agents_0incentive - Training_Reward_Mean__MAX","8agents - Training_Reward_Mean","8agents - Training_Reward_Mean__MIN","8agents - Training_Reward_Mean__MAX"
"35","-24.047458766153127","-24.047458766153127","-24.047458766153127","-34.1719495457184","-34.1719495457184","-34.1719495457184","-118.65830905837308","-118.65830905837308","-118.65830905837308"
"36","-23.090456527097675","-23.090456527097675","-23.090456527097675","-34.24880271859792","-34.24880271859792","-34.24880271859792","-118.62511570167983","-118.62511570167983","-118.62511570167983"
"37","-23.434231974015194","-23.434231974015194","-23.434231974015194","-34.44206189625931","-34.44206189625931","-34.44206189625931","-112.34387475902436","-112.34387475902436","-112.34387475902436"
"38","-23.728810044310798","-23.728810044310798","-23.728810044310798","-34.611246194059355","-34.611246194059355","-34.611246194059355","-112.95570949908786","-112.95570949908786","-112.95570949908786"
"39","-23.98823764433702","-23.98823764433702","-23.98823764433702","-34.70011752794878","-34.70011752794878","-34.70011752794878","-106.99205283776368","-106.99205283776368","-106.99205283776368"
"40","-23.205875874212115","-23.205875874212115","-23.205875874212115","-34.41748974623858","-34.41748974623858","-34.41748974623858","-101.20974522467515","-101.20974522467515","-101.20974522467515"
"41","-23.211899960331674","-23.211899960331674","-23.211899960331674","-34.445084676058705","-34.445084676058705","-34.445084676058705","-103.01846161329765","-103.01846161329765","-103.01846161329765"
"42","-23.480256997373218","-23.480256997373218","-23.480256997373218","-34.479116820597575","-34.479116820597575","-34.479116820597575","-104.63912037637384","-104.63912037637384","-104.63912037637384"
"43","-22.560131091072034","-22.560131091072034","-22.560131091072034","-34.569219817041855","-34.569219817041855","-34.569219817041855","-106.31630796139422","-106.31630796139422","-106.31630796139422"
"44","-22.865480086152886","-22.865480086152886","-22.865480086152886","-34.72370497575783","-34.72370497575783","-34.72370497575783","-107.98103641624952","-107.98103641624952","-107.98103641624952"
"45","-22.16164226102925","-22.16164226102925","-22.16164226102925","-34.33079259606594","-34.33079259606594","-34.33079259606594","-108.96988827308793","-108.96988827308793","-108.96988827308793"
"46","-22.441987580094782","-22.441987580094782","-22.441987580094782","-34.40088976837363","-34.40088976837363","-34.40088976837363","-109.85243300430247","-109.85243300430247","-109.85243300430247"
"47","-22.763745630988883","-22.763745630988883","-22.763745630988883","-34.55200718119301","-34.55200718119301","-34.55200718119301","-111.3394744401159","-111.3394744401159","-111.3394744401159"
"48","-22.77659630827161","-22.77659630827161","-22.77659630827161","-34.543981014212285","-34.543981014212285","-34.543981014212285","-106.7067036862533","-106.7067036862533","-106.7067036862533"
"49","-23.03302253429682","-23.03302253429682","-23.03302253429682","-34.64416930955168","-34.64416930955168","-34.64416930955168","-107.3223636329822","-107.3223636329822","-107.3223636329822"
"50","-22.991255400697895","-22.991255400697895","-22.991255400697895","-34.52471526931091","-34.52471526931091","-34.52471526931091","-108.16878836339122","-108.16878836339122","-108.16878836339122"
"51","-23.269127539622993","-23.269127539622993","-23.269127539622993","-34.661043390963634","-34.661043390963634","-34.661043390963634","-109.36383887135034","-109.36383887135034","-109.36383887135034"
"52","-23.410080718310542","-23.410080718310542","-23.410080718310542","-34.749216089627275","-34.749216089627275","-34.749216089627275","-110.04773688197517","-110.04773688197517","-110.04773688197517"
"53","-23.542942492685345","-23.542942492685345","-23.542942492685345","-34.82433096617223","-34.82433096617223","-34.82433096617223","-111.10515454857774","-111.10515454857774","-111.10515454857774"
"54","-23.790088923984793","-23.790088923984793","-23.790088923984793","-34.956757198912825","-34.956757198912825","-34.956757198912825","-106.78274288431355","-106.78274288431355","-106.78274288431355"
"55","-23.961203141886397","-23.961203141886397","-23.961203141886397","-35.08493896642394","-35.08493896642394","-35.08493896642394","-107.72964376009996","-107.72964376009996","-107.72964376009996"
"56","-23.538251845030107","-23.538251845030107","-23.538251845030107","-35.086903445397716","-35.086903445397716","-35.086903445397716","-103.75937928558209","-103.75937928558209","-103.75937928558209"
"57","-23.745929209758707","-23.745929209758707","-23.745929209758707","-35.06231608074411","-35.06231608074411","-35.06231608074411","-104.61646200071966","-104.61646200071966","-104.61646200071966"
"58","-22.601015753173712","-22.601015753173712","-22.601015753173712","-34.756769231389086","-34.756769231389086","-34.756769231389086","-100.67210845997876","-100.67210845997876","-100.67210845997876"
"59","-22.16709919997282","-22.16709919997282","-22.16709919997282","-34.32790775687145","-34.32790775687145","-34.32790775687145","-100.98838636208083","-100.98838636208083","-100.98838636208083"
"60","-22.205718179193894","-22.205718179193894","-22.205718179193894","-34.348150534410614","-34.348150534410614","-34.348150534410614","-101.13158231613286","-101.13158231613286","-101.13158231613286"
"61","-22.140497182296727","-22.140497182296727","-22.140497182296727","-34.301056868180936","-34.301056868180936","-34.301056868180936","-97.06277231095602","-97.06277231095602","-97.06277231095602"
"62","-22.003353106661617","-22.003353106661617","-22.003353106661617","-34.25070175983686","-34.25070175983686","-34.25070175983686","-97.79574484961375","-97.79574484961375","-97.79574484961375"
"63","-21.296404641108424","-21.296404641108424","-21.296404641108424","-33.96302418385133","-33.96302418385133","-33.96302418385133","-97.993532488862","-97.993532488862","-97.993532488862"
"64","-18.227653979897333","-18.227653979897333","-18.227653979897333","-34.05151235910263","-34.05151235910263","-34.05151235910263","-98.82040170427365","-98.82040170427365","-98.82040170427365"
"65","-18.516692108403866","-18.516692108403866","-18.516692108403866","-34.17088504637138","-34.17088504637138","-34.17088504637138","-99.28736140728124","-99.28736140728124","-99.28736140728124"
"66","-18.812216609225484","-18.812216609225484","-18.812216609225484","-34.053209772709245","-34.053209772709245","-34.053209772709245","-100.47393084057023","-100.47393084057023","-100.47393084057023"
"67","-18.67951179826575","-18.67951179826575","-18.67951179826575","-34.10063967787669","-34.10063967787669","-34.10063967787669","-101.37044900886066","-101.37044900886066","-101.37044900886066"
"68","-18.706332900887126","-18.706332900887126","-18.706332900887126","-34.15752206350503","-34.15752206350503","-34.15752206350503","-102.4344712731533","-102.4344712731533","-102.4344712731533"
"69","-18.990868062249387","-18.990868062249387","-18.990868062249387","-34.18956501703676","-34.18956501703676","-34.18956501703676","-99.23178481818314","-99.23178481818314","-99.23178481818314"
"70","-19.033079061190346","-19.033079061190346","-19.033079061190346","-34.13269534269617","-34.13269534269617","-34.13269534269617","-96.15332470509641","-96.15332470509641","-96.15332470509641"
"71","-19.18120943621945","-19.18120943621945","-19.18120943621945","-34.20675626607187","-34.20675626607187","-34.20675626607187","-97.12842544737032","-97.12842544737032","-97.12842544737032"
"72","-19.195374820902554","-19.195374820902554","-19.195374820902554","-34.255197721750235","-34.255197721750235","-34.255197721750235","-94.24658250489135","-94.24658250489135","-94.24658250489135"
"73","-19.280754902228967","-19.280754902228967","-19.280754902228967","-34.26730810622422","-34.26730810622422","-34.26730810622422","-95.11188015789322","-95.11188015789322","-95.11188015789322"
"74","-19.09017124229979","-19.09017124229979","-19.09017124229979","-34.2128648475573","-34.2128648475573","-34.2128648475573","-96.0740586621278","-96.0740586621278","-96.0740586621278"
"75","-19.30901729012933","-19.30901729012933","-19.30901729012933","-33.92594888516599","-33.92594888516599","-33.92594888516599","-96.99231845058021","-96.99231845058021","-96.99231845058021"
"76","-19.46622889680702","-19.46622889680702","-19.46622889680702","-33.8395876624992","-33.8395876624992","-33.8395876624992","-97.40690410047621","-97.40690410047621","-97.40690410047621"
"77","-19.449585363593965","-19.449585363593965","-19.449585363593965","-33.65378220895042","-33.65378220895042","-33.65378220895042","-98.19347216583998","-98.19347216583998","-98.19347216583998"
"78","-19.12223000459331","-19.12223000459331","-19.12223000459331","-33.74401249012035","-33.74401249012035","-33.74401249012035","-98.83475754116779","-98.83475754116779","-98.83475754116779"
"79","-19.371539733351096","-19.371539733351096","-19.371539733351096","-33.799976896541615","-33.799976896541615","-33.799976896541615","-96.03657496485691","-96.03657496485691","-96.03657496485691"
"80","-19.209900803743544","-19.209900803743544","-19.209900803743544","-33.63225871060917","-33.63225871060917","-33.63225871060917","-93.53702053912883","-93.53702053912883","-93.53702053912883"
"81","-18.832342302169877","-18.832342302169877","-18.832342302169877","-33.7041380648159","-33.7041380648159","-33.7041380648159","-90.88517507072723","-90.88517507072723","-90.88517507072723"
"82","-18.77605374308876","-18.77605374308876","-18.77605374308876","-33.74803203595882","-33.74803203595882","-33.74803203595882","-91.19300706682303","-91.19300706682303","-91.19300706682303"
"83","-18.31379363257983","-18.31379363257983","-18.31379363257983","-33.49928664311652","-33.49928664311652","-33.49928664311652","-88.87081531831207","-88.87081531831207","-88.87081531831207"
"84","-18.321578606216416","-18.321578606216416","-18.321578606216416","-33.56818290411538","-33.56818290411538","-33.56818290411538","-86.51005886565972","-86.51005886565972","-86.51005886565972"
"85","-18.52107231696121","-18.52107231696121","-18.52107231696121","-33.664637525392315","-33.664637525392315","-33.664637525392315","-86.78373577272832","-86.78373577272832","-86.78373577272832"
"86","-18.736103006194337","-18.736103006194337","-18.736103006194337","-33.59666244793847","-33.59666244793847","-33.59666244793847","-87.29258068537622","-87.29258068537622","-87.29258068537622"
"87","-18.953714837438714","-18.953714837438714","-18.953714837438714","-33.65458886403038","-33.65458886403038","-33.65458886403038","-87.7653172653163","-87.7653172653163","-87.7653172653163"
"88","-19.099041510826932","-19.099041510826932","-19.099041510826932","-33.73438256488608","-33.73438256488608","-33.73438256488608","-88.35799859232559","-88.35799859232559","-88.35799859232559"
"89","-18.8071813023743","-18.8071813023743","-18.8071813023743","-33.80321064411125","-33.80321064411125","-33.80321064411125","-86.12964009580983","-86.12964009580983","-86.12964009580983"
"90","-18.927009536361574","-18.927009536361574","-18.927009536361574","-33.51434191040257","-33.51434191040257","-33.51434191040257","-83.95332199608859","-83.95332199608859","-83.95332199608859"
"91","-18.832922272178934","-18.832922272178934","-18.832922272178934","-33.32493244799799","-33.32493244799799","-33.32493244799799","-84.56641322129431","-84.56641322129431","-84.56641322129431"
"92","-18.991645144626634","-18.991645144626634","-18.991645144626634","-33.26109291646413","-33.26109291646413","-33.26109291646413","-85.10720035190867","-85.10720035190867","-85.10720035190867"
"93","-18.70231315047867","-18.70231315047867","-18.70231315047867","-33.17584068777444","-33.17584068777444","-33.17584068777444","-86.09477228052035","-86.09477228052035","-86.09477228052035"
"94","-18.753922730909867","-18.753922730909867","-18.753922730909867","-33.12330610221657","-33.12330610221657","-33.12330610221657","-83.8409525076775","-83.8409525076775","-83.8409525076775"
"95","-18.82476022533326","-18.82476022533326","-18.82476022533326","-33.21347821854072","-33.21347821854072","-33.21347821854072","-84.65175417007627","-84.65175417007627","-84.65175417007627"
"96","-18.896270416877577","-18.896270416877577","-18.896270416877577","-33.11548417499786","-33.11548417499786","-33.11548417499786","-82.66287108079113","-82.66287108079113","-82.66287108079113"
"97","-18.674693860278346","-18.674693860278346","-18.674693860278346","-31.90148334362419","-31.90148334362419","-31.90148334362419","-80.71532782005488","-80.71532782005488","-80.71532782005488"
"98","-18.850686108636765","-18.850686108636765","-18.850686108636765","-30.75694807096954","-30.75694807096954","-30.75694807096954","-81.25830994617374","-81.25830994617374","-81.25830994617374"
"100","-18.834822538444158","-18.834822538444158","-18.834822538444158","-30.880102703749934","-30.880102703749934","-30.880102703749934","-82.10922722691538","-82.10922722691538","-82.10922722691538"
"101","-18.80876971930416","-18.80876971930416","-18.80876971930416","-30.881416540805834","-30.881416540805834","-30.881416540805834","-79.52753002556189","-79.52753002556189","-79.52753002556189"
"102","-19.445107023809967","-19.445107023809967","-19.445107023809967","-31.22522886038143","-31.22522886038143","-31.22522886038143","-77.00759874221538","-77.00759874221538","-77.00759874221538"
"103","-19.389085204447362","-19.389085204447362","-19.389085204447362","-30.875550954891015","-30.875550954891015","-30.875550954891015","-74.50401935250126","-74.50401935250126","-74.50401935250126"
"104","-19.108506990413165","-19.108506990413165","-19.108506990413165","-30.965283794759067","-30.965283794759067","-30.965283794759067","-71.5861395203356","-71.5861395203356","-71.5861395203356"
"105","-18.717642797143707","-18.717642797143707","-18.717642797143707","-30.924782010398957","-30.924782010398957","-30.924782010398957","-70.77059952186183","-70.77059952186183","-70.77059952186183"
"106","-18.182662886707956","-18.182662886707956","-18.182662886707956","-30.813786261520416","-30.813786261520416","-30.813786261520416","-70.26789752525215","-70.26789752525215","-70.26789752525215"
"107","-18.101826866116387","-18.101826866116387","-18.101826866116387","-30.782148066682936","-30.782148066682936","-30.782148066682936","-67.40229692429448","-67.40229692429448","-67.40229692429448"
"108","-18.106793852917335","-18.106793852917335","-18.106793852917335","-30.786523082573908","-30.786523082573908","-30.786523082573908","-66.74891176232555","-66.74891176232555","-66.74891176232555"
"109","-17.989500897045147","-17.989500897045147","-17.989500897045147","-30.48504775924043","-30.48504775924043","-30.48504775924043","-66.27260705137505","-66.27260705137505","-66.27260705137505"
"110","-17.96071479388165","-17.96071479388165","-17.96071479388165","-30.81348179936672","-30.81348179936672","-30.81348179936672","-63.31862829601153","-63.31862829601153","-63.31862829601153"
"111","-17.915576849611792","-17.915576849611792","-17.915576849611792","-30.923776223575175","-30.923776223575175","-30.923776223575175","-60.687330328381506","-60.687330328381506","-60.687330328381506"
"112","-17.89318321982397","-17.89318321982397","-17.89318321982397","-30.900961647155047","-30.900961647155047","-30.900961647155047","-60.08904928986753","-60.08904928986753","-60.08904928986753"
"113","-17.56661816405136","-17.56661816405136","-17.56661816405136","-30.813659077187843","-30.813659077187843","-30.813659077187843","-59.70997541020285","-59.70997541020285","-59.70997541020285"
"114","-17.708971888434235","-17.708971888434235","-17.708971888434235","-30.91657991012573","-30.91657991012573","-30.91657991012573","-56.91083084985664","-56.91083084985664","-56.91083084985664"
"115","-17.64470210900872","-17.64470210900872","-17.64470210900872","-30.692769835521148","-30.692769835521148","-30.692769835521148","-56.48470670913269","-56.48470670913269","-56.48470670913269"
"116","-17.669887413639916","-17.669887413639916","-17.669887413639916","-30.445918274921254","-30.445918274921254","-30.445918274921254","-53.60409951560428","-53.60409951560428","-53.60409951560428"
"117","-17.700624883680213","-17.700624883680213","-17.700624883680213","-30.305776188448334","-30.305776188448334","-30.305776188448334","-50.774172455821436","-50.774172455821436","-50.774172455821436"
"118","-18.02751975918768","-18.02751975918768","-18.02751975918768","-30.48378251385777","-30.48378251385777","-30.48378251385777","-50.37067223618221","-50.37067223618221","-50.37067223618221"
"119","-18.301771060428063","-18.301771060428063","-18.301771060428063","-30.31879915028164","-30.31879915028164","-30.31879915028164","-53.114905351193514","-53.114905351193514","-53.114905351193514"
"120","-18.133118442457015","-18.133118442457015","-18.133118442457015","-29.895989423027697","-29.895989423027697","-29.895989423027697","-53.39098552112832","-53.39098552112832","-53.39098552112832"
"121","-18.205871518059816","-18.205871518059816","-18.205871518059816","-30.142731991294117","-30.142731991294117","-30.142731991294117","-50.53442808167188","-50.53442808167188","-50.53442808167188"
"122","-18.128996073524164","-18.128996073524164","-18.128996073524164","-29.966308503226877","-29.966308503226877","-29.966308503226877","-47.70606786231835","-47.70606786231835","-47.70606786231835"
"123","-18.436178357363005","-18.436178357363005","-18.436178357363005","-30.462306496434504","-30.462306496434504","-30.462306496434504","-44.98565365142635","-44.98565365142635","-44.98565365142635"
"124","-18.686618853096775","-18.686618853096775","-18.686618853096775","-30.20985270602116","-30.20985270602116","-30.20985270602116","-42.398607549188576","-42.398607549188576","-42.398607549188576"
"125","-18.66995669469851","-18.66995669469851","-18.66995669469851","-30.204764107435256","-30.204764107435256","-30.204764107435256","-39.66477307688015","-39.66477307688015","-39.66477307688015"
"126","-18.66538132214497","-18.66538132214497","-18.66538132214497","-30.170155949259755","-30.170155949259755","-30.170155949259755","-39.089422947922095","-39.089422947922095","-39.089422947922095"
"127","-18.635798697009207","-18.635798697009207","-18.635798697009207","-30.081145829070973","-30.081145829070973","-30.081145829070973","-36.13693645637026","-36.13693645637026","-36.13693645637026"
"128","-18.72913158062815","-18.72913158062815","-18.72913158062815","-30.17577872538149","-30.17577872538149","-30.17577872538149","-38.30970535670644","-38.30970535670644","-38.30970535670644"
"129","-18.384973500720655","-18.384973500720655","-18.384973500720655","-30.124692126262513","-30.124692126262513","-30.124692126262513","-35.64589987265021","-35.64589987265021","-35.64589987265021"
"130","-17.37073167842103","-17.37073167842103","-17.37073167842103","-29.960058172291","-29.960058172291","-29.960058172291","-35.57820478753353","-35.57820478753353","-35.57820478753353"
"131","-16.772227818500845","-16.772227818500845","-16.772227818500845","-29.646745402637272","-29.646745402637272","-29.646745402637272","-32.999779960858206","-32.999779960858206","-32.999779960858206"
"132","-16.91064468239887","-16.91064468239887","-16.91064468239887","-29.306301595673904","-29.306301595673904","-29.306301595673904","-33.14600255272701","-33.14600255272701","-33.14600255272701"
"133","-16.78003012855415","-16.78003012855415","-16.78003012855415","-29.237869647923144","-29.237869647923144","-29.237869647923144","-30.28879718327768","-30.28879718327768","-30.28879718327768"
"134","-16.45912469398395","-16.45912469398395","-16.45912469398395","-29.20947480149562","-29.20947480149562","-29.20947480149562","-30.676026120494598","-30.676026120494598","-30.676026120494598"
"135","-16.48848804634871","-16.48848804634871","-16.48848804634871","-29.21918330468688","-29.21918330468688","-29.21918330468688","-30.891793767505675","-30.891793767505675","-30.891793767505675"
"136","-16.210758185050246","-16.210758185050246","-16.210758185050246","-29.052741679018467","-29.052741679018467","-29.052741679018467","-30.66722889147974","-30.66722889147974","-30.66722889147974"
"137","-16.64441719386798","-16.64441719386798","-16.64441719386798","-29.007328582540616","-29.007328582540616","-29.007328582540616","-28.40790441010321","-28.40790441010321","-28.40790441010321"
"138","-16.51277596306872","-16.51277596306872","-16.51277596306872","-28.84423157415041","-28.84423157415041","-28.84423157415041","-30.58238428989138","-30.58238428989138","-30.58238428989138"
"139","-16.140494995027023","-16.140494995027023","-16.140494995027023","-28.603354153731203","-28.603354153731203","-28.603354153731203","-28.199195263734737","-28.199195263734737","-28.199195263734737"
"140","-16.020810668186492","-16.020810668186492","-16.020810668186492","-28.365550856056156","-28.365550856056156","-28.365550856056156","-28.37626651052989","-28.37626651052989","-28.37626651052989"
"141","-16.489726595034686","-16.489726595034686","-16.489726595034686","-28.261173697348596","-28.261173697348596","-28.261173697348596","-28.656300109440135","-28.656300109440135","-28.656300109440135"
"142","-16.632285699513133","-16.632285699513133","-16.632285699513133","-28.328111358239592","-28.328111358239592","-28.328111358239592","-28.190236722387922","-28.190236722387922","-28.190236722387922"
"143","-16.535097487000414","-16.535097487000414","-16.535097487000414","-28.265723997676236","-28.265723997676236","-28.265723997676236","-25.382607858943715","-25.382607858943715","-25.382607858943715"
"144","-16.564550380602846","-16.564550380602846","-16.564550380602846","-28.070839899669608","-28.070839899669608","-28.070839899669608","-22.503459461349017","-22.503459461349017","-22.503459461349017"
"145","-16.476049689595982","-16.476049689595982","-16.476049689595982","-27.875764366176153","-27.875764366176153","-27.875764366176153","-19.637465150823587","-19.637465150823587","-19.637465150823587"
"146","-16.848797117425438","-16.848797117425438","-16.848797117425438","-28.022016618165644","-28.022016618165644","-28.022016618165644","-17.101681730725428","-17.101681730725428","-17.101681730725428"
"147","-16.39656393111265","-16.39656393111265","-16.39656393111265","-27.791585069597346","-27.791585069597346","-27.791585069597346","-14.563847886133729","-14.563847886133729","-14.563847886133729"
"148","-15.043780779167125","-15.043780779167125","-15.043780779167125","-27.50388279790983","-27.50388279790983","-27.50388279790983","-11.720668351453039","-11.720668351453039","-11.720668351453039"
"149","-14.76970158979437","-14.76970158979437","-14.76970158979437","-27.476179284928925","-27.476179284928925","-27.476179284928925","-11.873005282630452","-11.873005282630452","-11.873005282630452"
"150","-14.599402904692226","-14.599402904692226","-14.599402904692226","-27.09465352146925","-27.09465352146925","-27.09465352146925","-9.377851444403602","-9.377851444403602","-9.377851444403602"
"151","-14.333119862783983","-14.333119862783983","-14.333119862783983","-26.974522740163383","-26.974522740163383","-26.974522740163383","-6.832554282743275","-6.832554282743275","-6.832554282743275"
"152","-12.078020328476178","-12.078020328476178","-12.078020328476178","-26.962341008118003","-26.962341008118003","-26.962341008118003","-6.288019589481685","-6.288019589481685","-6.288019589481685"
"153","-11.975227289633123","-11.975227289633123","-11.975227289633123","-26.714345496332008","-26.714345496332008","-26.714345496332008","-3.765557687198773","-3.765557687198773","-3.765557687198773"
"154","-11.586535940719227","-11.586535940719227","-11.586535940719227","-26.73454562068964","-26.73454562068964","-26.73454562068964","-1.0409172949795567","-1.0409172949795567","-1.0409172949795567"
"155","-11.132304634966092","-11.132304634966092","-11.132304634966092","-26.749762318322954","-26.749762318322954","-26.749762318322954","-1.280449744108017","-1.280449744108017","-1.280449744108017"
"156","-11.13011943654574","-11.13011943654574","-11.13011943654574","-26.050270175022096","-26.050270175022096","-26.050270175022096","-1.032654392797618","-1.032654392797618","-1.032654392797618"
"157","-10.982311852067816","-10.982311852067816","-10.982311852067816","-25.862346153641262","-25.862346153641262","-25.862346153641262","-3.4711225844151024","-3.4711225844151024","-3.4711225844151024"
